County,Cornyn_2020,Hegar_2020,Total Ballots_2020Senate,Registered Voters_2020Senate,Turnout_2020Senate
EASTLAND,"6,994",909,"8,067","12,230",65.96%
ECTOR,"31,603","10,631","43,411","80,872",53.68%
EDWARDS,824,143,985,"1,499",65.71%
ELLIS,"57,007","25,734","84,918","120,188",70.65%
EL PASO,"76,859","156,169","246,915","488,470",50.55%
ERATH,"13,547","2,706","16,690","23,935",69.73%
FALLS,"4,157","1,787","6,039","10,361",58.29%
FANNIN,"11,816","2,542","14,711","22,199",66.27%
FAYETTE,"10,047","2,623","12,844","17,398",73.82%
FISHER,"1,418",351,"1,804","2,646",68.18%
FLOYD,"1,552",395,"1,986","3,850",51.58%
FOARD,404,107,519,884,58.71%
FORT BEND,"160,841","178,664","346,967","482,368",71.93%
FRANKLIN,"4,106",752,"4,934","7,061",69.88%
FREESTONE,"6,812","1,549","8,529","12,481",68.34%
FRIO,"2,479","2,279","4,907","8,984",54.62%
GAINES,"5,087",545,"5,726","9,701",59.02%
GALVESTON,"93,700","54,545","152,187","228,482",66.61%
GARZA,"1,372",225,"1,615","2,681",60.24%
GILLESPIE,"12,522","2,985","15,747","20,404",77.18%
GLASSCOCK,603,35,646,800,80.75%
GOLIAD,"2,995",835,"3,899","5,766",67.62%
GONZALES,"5,556","1,734","7,421","12,629",58.76%
GRAY,"6,678",765,"7,651","12,406",61.67%
GRAYSON,"43,350","13,668","58,302","86,740",67.21%
GREGG,"32,326","13,890","47,205","72,867",64.78%
GRIMES,"9,325","2,675","12,259","17,877",68.57%
GUADALUPE,"48,176","26,615","76,753","111,142",69.06%
HALE,"6,983","2,149","9,352","18,997",49.23%
HALL,964,156,"1,137","1,926",59.03%
HAMILTON,"3,572",593,"4,274","5,832",73.29%
HANSFORD,"1,838",158,"2,022","3,009",67.20%
HARDEMAN,"1,313",232,"1,555","2,486",62.55%
HARDIN,"23,468","3,362","27,307","39,952",68.35%
HARRIS,"717,506","848,437","1,607,895","2,480,522",64.82%
HARRISON,"21,091","7,517","29,141","45,933",63.44%
HARTLEY,"1,857",176,"2,070","2,909",71.16%
HASKELL,"1,805",347,"2,180","3,377",64.55%
HAYS,"49,279","55,319","107,989","152,840",70.65%
HEMPHILL,"1,465",197,"1,693","2,355",71.89%
HENDERSON,"28,625","6,660","35,986","54,663",65.83%
HIDALGO,"83,737","116,222","208,088","391,309",53.18%
HILL,"11,788","2,660","14,740","23,625",62.39%
HOCKLEY,"6,447","1,384","7,981","13,781",57.91%
HOOD,"26,001","5,193","31,883","44,831",71.12%
HOPKINS,"12,490","2,831","15,638","23,954",65.28%
HOUSTON,"6,985","2,193","9,299","13,444",69.17%
HOWARD,"7,680","1,915","9,834","17,526",56.11%
HUDSPETH,673,443,"1,153","2,085",55.30%
HUNT,"28,864","8,293","38,006","59,367",64.02%
HUTCHINSON,"7,555",892,"8,662","13,533",64.01%
IRION,760,111,880,"1,298",67.80%
JACK,"3,319",319,"3,697","5,254",70.37%
JACKSON,"5,058","1,003","6,167","9,482",65.04%
JASPER,"12,235","2,803","15,254","23,374",65.26%
JEFF DAVIS,766,483,"1,285","1,670",76.95%
JEFFERSON,"46,893","44,063","92,835","149,372",62.15%
JIM HOGG,650,"1,136","1,842","3,800",48.47%
JIM WELLS,"6,900","5,927","13,101","26,636",49.19%
JOHNSON,"54,306","15,431","71,317","105,574",67.55%
JONES,"5,506",958,"6,571","9,635",68.20%
KARNES,"3,823","1,167","5,068","8,359",60.63%
KAUFMAN,"37,504","17,401","56,207","81,901",68.63%
KENDALL,"20,561","5,325","26,358","33,836",77.90%
KENEDY,107,57,169,296,57.09%
KENT,386,53,445,592,75.17%
KERR,"21,000","5,933","27,505","37,726",72.91%
KIMBLE,"1,962",254,"2,253","3,113",72.37%
KING,149,5,154,183,84.15%
KINNEY,"1,070",395,"1,508","2,270",66.43%
KLEBERG,"5,421","5,110","10,801","18,749",57.61%
KNOX,"1,147",263,"1,430","2,391",59.81%
LAMAR,"16,417","4,264","21,070","32,390",65.05%
LAMB,"3,463",794,"4,354","8,085",53.85%
LAMPASAS,"8,086","1,969","10,304","15,424",66.80%
LASALLE,"1,082","1,005","2,146","4,426",48.49%
LAVACA,"8,597","1,305","10,036","13,661",73.46%
LEE,"6,203","1,685","8,020","11,145",71.96%
LEON,"7,420","1,027","8,590","11,727",73.25%
LIBERTY,"22,731","5,655","28,990","46,155",62.81%
LIMESTONE,"6,653","2,112","8,964","13,963",64.20%
LIPSCOMB,"1,180",117,"1,323","1,977",66.92%
LIVE OAK,"4,121",790,"4,980","7,572",65.77%
LLANO,"9,969","2,294","12,479","16,688",74.78%
LOVING,58,5,66,111,59.46%
LUBBOCK,"79,160","36,088","118,951","183,320",64.89%
LYNN,"1,817",411,"2,263","4,028",56.18%
MCCULLOCH,"2,837",460,"3,379","5,361",63.03%
MCLENNAN,"59,916","33,319","95,884","149,461",64.15%
MCMULLEN,454,43,500,706,70.82%
MADISON,"4,113","1,028","5,216","7,822",66.68%
MARION,"3,369","1,267","4,738","7,596",62.37%
MARTIN,"1,811",263,"2,112","3,467",60.92%
MASON,"1,979",542,"2,553","3,168",80.59%
MATAGORDA,"9,637","3,547","13,468","22,026",61.15%
MAVERICK,"5,708","7,958","14,291","33,050",43.24%
MEDINA,"15,548","6,171","22,128","33,763",65.54%
MENARD,793,188,995,"1,469",67.73%
MIDLAND,"45,584","11,348","58,307","90,392",64.50%
MILAM,"7,725","2,365","10,278","15,838",64.89%
MILLS,"2,193",252,"2,484","3,429",72.44%
MITCHELL,"2,128",359,"2,539","4,524",56.12%
MONTAGUE,"8,524","1,051","9,762","14,001",69.72%
MONTGOMERY,"194,368","68,142","268,559","370,060",72.57%
MOORE,"4,311",996,"5,441","9,995",54.44%
MORRIS,"3,727","1,634","5,450","8,583",63.50%
MOTLEY,591,44,638,859,74.27%
NACOGDOCHES,"17,349","8,481","26,471","38,786",68.25%
NAVARRO,"13,688","4,817","18,953","29,959",63.26%
NEWTON,"4,784","1,165","6,019","9,400",64.03%
NOLAN,"4,096","1,077","5,275","8,871",59.46%
NUECES,"64,418","57,013","124,988","211,652",59.05%
OCHILTREE,"2,782",278,"3,105","5,192",59.80%
OLDHAM,908,74,996,"1,425",69.89%
ORANGE,"28,704","6,246","35,674","54,442",65.53%
PALO PINTO,"9,990","2,026","12,317","18,946",65.01%
PANOLA,"9,141","2,015","11,296","16,808",67.21%
PARKER,"61,235","11,721","74,843","103,999",71.97%
PARMER,"2,130",454,"2,626","4,537",57.88%
PECOS,"3,079","1,373","4,564","8,323",54.84%
POLK,"17,668","5,202","23,427","40,520",57.82%
POTTER,"22,593","9,120","32,695","57,736",56.63%
PRESIDIO,651,"1,374","2,091","4,789",43.66%
RAINS,"5,052",788,"5,947","8,320",71.48%
RANDALL,"50,926","11,567","64,075","93,313",68.67%
REAGAN,893,154,"1,069","1,879",56.89%
REAL,"1,626",286,"1,939","2,702",71.76%
RED RIVER,"4,447","1,189","5,725","8,489",67.44%
REEVES,"1,978","1,337","3,430","7,558",45.38%
REFUGIO,"2,072","1,023","3,172","5,007",63.35%
ROBERTS,526,15,545,680,80.15%
ROBERTSON,"5,575","2,232","7,960","11,844",67.21%
ROCKWALL,"39,824","16,600","57,704","71,102",81.16%
RUNNELS,"3,603",497,"4,183","7,025",59.54%
RUSK,"16,346","4,450","21,151","32,388",65.31%
SABINE,"4,661",681,"5,409","8,050",67.19%
SAN AUGUSTINE,"2,896",926,"3,873","6,108",63.41%
SAN JACINTO,"9,803","2,264","12,354","18,969",65.13%
SAN PATRICIO,"16,151","8,482","25,280","43,248",58.45%
SAN SABA,"2,218",270,"2,500","3,776",66.21%
SCHLEICHER,926,191,"1,131","1,709",66.18%
SCURRY,"4,865",805,"5,792","9,489",61.04%
SHACKELFORD,"1,475",115,"1,607","2,320",69.27%
SHELBY,"7,854","2,013","9,969","15,570",64.03%
SHERMAN,888,88,986,"1,520",64.87%
SMITH,"69,047","28,118","99,075","146,149",67.79%
SOMERVELL,"4,097",712,"4,915","6,712",73.23%
STARR,"5,825","8,139","14,706","34,050",43.19%
STEPHENS,"3,312",373,"3,734","5,672",65.83%
STERLING,567,47,621,939,66.13%
STONEWALL,586,122,714,953,74.92%
SUTTON,"1,204",305,"1,529","2,449",62.43%
SWISHER,"1,792",464,"2,316","3,941",58.77%
TARRANT,"416,208","375,316","813,838","1,212,524",67.12%
TAYLOR,"39,777","12,983","54,278","83,696",64.85%
TERRELL,324,116,450,673,66.86%
TERRY,"2,728",714,"3,520","6,589",53.42%
THROCKMORTON,788,76,874,"1,216",71.88%
TITUS,"7,419","2,744","10,365","17,666",58.67%
TOM GREEN,"32,149","11,259","44,514","70,086",63.51%
TRAVIS,"174,380","405,003","595,438","854,577",69.68%
TRINITY,"5,435","1,258","6,802","11,541",58.94%
TYLER,"7,819","1,385","9,409","14,556",64.64%
UPSHUR,"15,437","2,797","18,612","28,619",65.03%
UPTON,"1,145",159,"1,333","2,207",60.40%
UVALDE,"5,955","3,813","10,061","17,420",57.76%
VAL VERDE,"7,567","6,113","14,077","28,927",48.66%
VAN ZANDT,"21,861","3,287","25,535","38,965",65.53%
VICTORIA,"23,045","9,728","33,479","56,612",59.14%
WALKER,"15,473","7,406","23,460","35,038",66.96%
WALLER,"14,162","7,672","22,345","35,116",63.63%
WARD,"3,136",723,"3,937","6,880",57.22%
WASHINGTON,"12,979","4,013","17,265","23,947",72.10%
WEBB,"23,153","40,822","66,393","137,840",48.17%
WHARTON,"11,802","4,490","16,565","25,697",64.46%
WHEELER,"2,079",165,"2,281","3,514",64.91%
WICHITA,"31,488","12,278","45,010","83,575",53.86%
WILBARGER,"3,469",872,"4,413","8,196",53.84%
WILLACY,"2,179","2,957","5,274","12,804",41.19%
WILLIAMSON,"141,319","132,575","281,449","376,672",74.72%
WILSON,"18,324","5,940","24,690","35,036",70.47%
WINKLER,"1,714",338,"2,094","4,013",52.18%
WISE,"26,587","4,621","31,932","45,643",69.96%
WOOD,"18,673","3,296","22,360","32,382",69.05%
YOAKUM,"2,151",386,"2,596","4,407",58.91%
YOUNG,"6,999",969,"8,114","11,769",68.94%
ZAPATA,"1,453","1,816","3,370","8,257",40.81%
ZAVALA,"1,232","2,633","3,994","8,066",49.52%
